month_id,rfm_segment,customers,incremental_revenue,incremental_transactions,avg_delta_aov
202511,Others,4984,-8659.079999999998,-248.5,-13.481381800332494
202501,,5360,3616.4800000000005,108.0,0.5803165422885572
202510,Champions,708,-8019.644999999997,-217.0,-25.608622410546154
202512,Others,4727,-2543.099999999997,-90.25,-11.182135568718707
202509,Champions,699,-5820.2025,-140.5,-25.17613602765856
202511,Potential Loyalists,1568,-14174.762500000008,-423.25,-27.585628720238095
202505,Potential Loyalists,1598,397.8624999999999,-18.25,-19.079275657071317
202504,Others,4826,69.74749999999942,-8.5,-10.191146118248387
202505,Others,4808,7984.942499999997,205.0,-11.88551416785517
202510,Others,5049,-3894.9150000000022,-149.25,-14.68221104131888
202510,,1686,609.1,20.0,0.33451364175563464
202506,Lost,1917,11515.980000000009,343.0,-12.040749654304431
202508,Lost,1826,16322.199999999986,424.75,-6.433139832055501
202501,Potential Loyalists,1010,8913.0525,259.0,-6.003019613389911
202510,At Risk,998,5727.775,163.5,-3.8469622578490315
202502,Potential Loyalists,1469,-3745.5425000000005,-111.25,-22.133526597296513
202512,Potential Loyalists,1597,-9479.605000000005,-280.5,-25.70999791275307
202501,Lost,1170,16197.082499999997,466.75,-0.48860081400081384
202509,,2099,1260.22,33.0,0.5633325393044307
202501,Loyal,873,1064.0249999999996,24.25,-14.989555173730434
202511,,1615,661.47,17.0,0.35153869969040247
202502,Others,4583,-4526.877499999999,-130.5,-17.522159284311602
202507,Lost,1995,7938.077499999999,219.25,-11.897760178223338
202503,Potential Loyalists,1613,-15582.302500000013,-443.25,-29.143733445517075
202508,Loyal,1076,-1304.4725000000003,-40.0,-5.799807930607188
202503,Loyal,1152,-2587.97,-95.0,-7.761218171296298
202501,Champions,560,198.05249999999967,9.0,-20.45261802721089
202512,At Risk,1019,5828.094999999999,171.0,-3.50463689892051
202510,Potential Loyalists,1544,-6155.257500000001,-163.0,-23.03460011102887
202502,Lost,1775,15116.154999999988,401.5,-10.243068745808186
202511,Lost,1904,8141.167500000001,212.75,-12.5181062237395
202509,Lost,1799,16497.199999999997,420.5,-7.466524861695649
202503,Others,5009,-8164.812499999999,-250.25,-13.630665568643112
202506,Loyal,1148,-6959.387500000006,-220.0,-17.881613675958203
202507,Potential Loyalists,1623,-15127.022500000012,-438.5,-27.55000261860752
202504,Potential Loyalists,1566,-11279.602499999997,-329.75,-26.927824286930612
202509,At Risk,983,7669.3025,212.5,-0.20396236012207503
202508,At Risk,1003,6082.824999999999,167.25,-3.6250382186773025
202512,Lost,1773,13212.892499999998,352.5,-8.319175126903549
202508,Potential Loyalists,1566,-9138.9625,-266.75,-25.267257556406975
202504,Champions,663,-2214.7175,-49.0,-11.264733534439415
202507,,1602,451.23,15.0,0.24855805243445697
202501,At Risk,819,6488.900000000001,173.75,4.962608872608872
202504,,2014,566.66,18.0,0.2813604766633565
202502,At Risk,917,6487.444999999998,192.25,-0.7127480916030539
202503,,1668,543.41,14.0,0.3181115107913669
202509,Potential Loyalists,1517,1431.5074999999993,22.0,-18.965627114919794
202510,Lost,1932,11692.520000000015,308.25,-11.397058297594398
202508,Others,4815,-323.74499999999966,-17.25,-10.743318206992042
202508,Champions,731,-2875.0675,-67.25,-11.242224122207018
202511,Loyal,1151,-3011.7275,-102.75,-8.60609542426875
202502,Loyal,1096,-8659.909999999996,-287.75,-22.473319647201937
202511,At Risk,1041,5099.167499999998,141.0,-7.856661863592699
202502,Champions,676,-10875.864999999998,-273.0,-31.75111968160044
202504,Lost,1823,13243.324999999997,359.75,-7.310079904918636
202512,Champions,701,-3030.515000000001,-76.25,-11.819430575368527
202503,Lost,1977,6351.34,176.0,-12.97227782595082
202506,At Risk,1013,7641.3475,220.25,-2.460937808489637
202507,Loyal,1228,-2990.7199999999984,-96.75,-8.490418023887077
202505,,2136,934.0699999999999,32.0,0.39190543071161055
202503,At Risk,997,4363.7925,113.5,-8.145406218655959
202506,,1603,574.3299999999999,20.0,0.3270336868371803
202508,,2082,1673.23,41.0,0.6378001921229587
202502,,2662,1690.75,47.0,0.5545304282494365
202505,Loyal,1154,-3975.8624999999993,-135.5,-14.822775852108604
202509,Loyal,1140,-4061.227499999999,-148.5,-15.057877923976607
202507,At Risk,1050,6381.592500000008,176.25,-6.245763492063495
202507,Others,4981,-8674.857499999998,-265.0,-14.019409537193718
202506,Potential Loyalists,1645,-7911.769999999993,-203.25,-23.95701705022433
202505,Champions,712,-5266.9725,-120.25,-24.832174391385763
202506,Others,4959,-2003.0650000000037,-83.75,-14.567433658379658
202503,Champions,686,-4724.957499999999,-113.25,-15.879461370262396
202504,At Risk,1042,5310.002500000004,153.5,-5.186737044145871
202509,Others,4857,11410.985000000006,269.5,-10.771419027030214
202511,Champions,807,-3983.0250000000005,-102.5,-13.409873399421729
202505,At Risk,1000,6536.692499999999,179.0,-1.2778800000000003
202501,Others,3272,22509.93500000001,589.5,-9.178047575387126
202505,Lost,1814,17442.155000000002,447.5,-7.256496495511102
202507,Champions,696,-4073.4775,-100.0,-14.849056034482757
202512,Loyal,1072,-2367.4950000000017,-79.25,-7.093502798507465
202506,Champions,723,-8136.965000000004,-214.75,-27.071879898570774
202512,,2073,0.0,0.0,0.0
202510,Loyal,1153,-6351.962499999998,-207.0,-17.093219572130664
202504,Loyal,1147,-1234.985,-43.0,-4.602965707643126
